,state,fips,cases,deaths,employed-sugar-intake-daily
333,California,6,2013298,23633,22.9
334,California,6,2048014,23944,22.9
335,California,6,2064763,23964,22.9
336,California,6,2129749,24221,22.9
337,California,6,2167303,24283,22.9
338,California,6,2209024,24529,22.9
339,California,6,2243191,24954,22.9
340,California,6,2275565,25391,22.9
341,California,6,2307860,25965,22.9
342,California,6,2345811,26236,22.9
343,California,6,2398005,26542,22.9
344,California,6,2433916,26635,22.9
345,California,6,2474639,26995,22.9
346,California,6,2511923,27486,22.9
347,California,6,2548830,28040,22.9
348,California,6,2589250,28554,22.9
349,California,6,2640221,29228,22.9
350,California,6,2687450,29699,22.9
351,California,6,2729858,30000,22.9
352,California,6,2770482,30381,22.9
353,California,6,2816366,31105,22.9
354,California,6,2858041,31653,22.9
355,California,6,2898756,32246,22.9
356,California,6,2937860,32947,22.9
357,California,6,2975419,33393,22.9
358,California,6,3006966,33593,22.9
359,California,6,3032359,33742,22.9
360,California,6,3071465,34390,22.9
361,California,6,3090794,35001,22.9
362,California,6,3116369,35704,22.9
363,California,6,3141404,36326,22.9
364,California,6,3164386,36818,22.9
365,California,6,3186036,37118,22.9
366,California,6,3212939,37499,22.9
367,California,6,3234571,38222,22.9
368,California,6,3253201,38927,22.9
369,California,6,3272829,39527,22.9
370,California,6,3292572,40192,22.9
371,California,6,3310100,40694,22.9
372,California,6,3324064,40928,22.9
373,California,6,3341656,41284,22.9
374,California,6,3354544,41858,22.9
375,California,6,3367104,42434,22.9
376,California,6,3381785,43062,22.9
377,California,6,3395797,43631,22.9
378,California,6,3407369,43987,22.9
379,California,6,3417563,44152,22.9
380,California,6,3431179,44440,22.9
381,California,6,3441692,44973,22.9
382,California,6,3450284,45436,22.9
383,California,6,3460901,45976,22.9
384,California,6,3470426,46435,22.9
385,California,6,3479586,46865,22.9
386,California,6,3485533,47055,22.9
387,California,6,3490542,47115,22.9
388,California,6,3499336,47446,22.9
389,California,6,3505610,47902,22.9
390,California,6,3513458,48334,22.9
391,California,6,3521349,48794,22.9
392,California,6,3527411,49111,22.9
393,California,6,3532057,49340,22.9
394,California,6,3537033,49531,22.9
395,California,6,3543293,49869,22.9
396,California,6,3549145,50953,22.9
397,California,6,3554779,51385,22.9
398,California,6,3561681,51794,22.9
399,California,6,3566089,51979,22.9
400,California,6,3569578,52213,22.9
401,California,6,3573775,52487,22.9
402,California,6,3578092,52774,22.9
403,California,6,3582495,53066,22.9
404,California,6,3587750,53457,22.9
405,California,6,3592812,53838,22.9
406,California,6,3597075,54124,22.9
407,California,6,3599828,54217,22.9
408,California,6,3604005,54377,22.9
409,California,6,3608146,54620,22.9
410,California,6,3611614,54877,22.9
411,California,6,3615174,55132,22.9
412,California,6,3617479,55336,22.9
413,California,6,3621217,56373,22.9
414,California,6,3623465,56523,22.9
415,California,6,3626427,56630,22.9
416,California,6,3628489,56743,22.9
417,California,6,3631857,56976,22.9
418,California,6,3635429,57213,22.9
419,California,6,3638641,57417,22.9
420,California,6,3640830,57495,22.9
421,California,6,3642778,57586,22.9
422,California,6,3645684,57770,22.9
423,California,6,3648181,57936,22.9
424,California,6,3650958,58187,22.9
425,California,6,3653449,58413,22.9
426,California,6,3656822,58630,22.9
427,California,6,3658932,58801,22.9
428,California,6,3661102,58927,22.9
429,California,6,3664161,59015,22.9
430,California,6,3666541,59116,22.9
431,California,6,3669048,59260,22.9
432,California,6,3671690,59396,22.9
433,California,6,3675457,59601,22.9
434,California,6,3678343,59675,22.9
435,California,6,3679968,59726,22.9
436,California,6,3683077,59788,22.9
437,California,6,3685338,59874,22.9
438,California,6,3687758,59976,22.9
439,California,6,3690309,60115,22.9
